RENAULT Twingo 1.0 SCe 70 Experience || € 8.250 || Eppan || no date || https://auto-suedtirol.com/fahrzeug/id-36851/ || 36000 KM
RENAULT Twingo 1.0 SCe 70 Experience || € 7.950 || Eppan || no date || https://auto-suedtirol.com/fahrzeug/id-36837/ || 44000 KM
Skoda Fabia 3ª serie 1.4 TDI 90 CV Wagon Ambition || € 9.900 || Trient || no date || https://auto-suedtirol.com/fahrzeug/id-36175/ || 57000 KM
VW POLO 1,2 TSI 70PS || € 8.950 || Algund || no date || https://auto-suedtirol.com/fahrzeug/id-35589/ || 72000 KM
FORD C-MAX 1,6 16V 150PS || € 9.950 || Algund || no date || https://auto-suedtirol.com/fahrzeug/id-35572/ || 83000 KM
VW POLO 1.200 70PS || € 9.300 || Algund || no date || https://auto-suedtirol.com/fahrzeug/id-35521/ || 65000 KM
Volkswagen up! 1.0 move up! 75 PS Navi || € 7.900 || Dorf Tirol || no date || https://auto-suedtirol.com/fahrzeug/id-34850/ || 46000 KM
Ford Fiesta 1.0 80 PS Titanium PDC || € 7.900 || Dorf Tirol || no date || https://auto-suedtirol.com/fahrzeug/id-34368/ || 99000 KM
Ford KA 1.3 || € 3.400 || Dorf Tirol || no date || https://auto-suedtirol.com/fahrzeug/id-34246/ || 95000 KM
FIAT Panda 1.2 4×4 NEOPATENTATI RADIO || € 6.490 || Klausen || no date || https://auto-suedtirol.com/fahrzeug/id-33054/ || 81105 KM
Fiat Panda 1.2 Classe 5T Euro || € 6.200 || Sinich || no date || https://auto-suedtirol.com/fahrzeug/id-31928/ || 64500 KM
Fiat Gr. Punto 1.4 Sport || € 8.200 || Sinich || no date || https://auto-suedtirol.com/fahrzeug/id-31918/ || 76000 KM
Fiat 600/1100 Super || € 3.500 || Sinich || no date || https://auto-suedtirol.com/fahrzeug/id-31908/ || 62000 KM
DAIHATSU TERIOS 4WD 1,5 BENZIN XS || € 8.800 || Neumarkt || no date || https://auto-suedtirol.com/fahrzeug/id-31640/ || 93300 KM
Opel Astra 1.6 CDTI ST Business Premium LED Navi || € 9.999 || Sterzing || no date || https://auto-suedtirol.com/fahrzeug/id-31052/ || 86000 KM
Fiat Panda 0.9 TwinAir Turbo S&S 4×4 || € 9.950 || Meran || no date || https://auto-suedtirol.com/fahrzeug/id-30250/ || 69000 KM
Citroen C3 1.0 VTi 68 Seduction || € 8.550 || Meran || no date || https://auto-suedtirol.com/fahrzeug/id-30214/ || 54000 KM
smart forTwo 70 1.0 Passion || € 7.350 || Meran || no date || https://auto-suedtirol.com/fahrzeug/id-30190/ || 79000 KM
CITROEN C3 PICASSO 1,4 BENZIN – EXCLUSIVE || € 7.800 || Neumarkt || no date || https://auto-suedtirol.com/fahrzeug/id-30046/ || 86000 KM
VOLKSWAGEN Golf Cabriolet 1.6 TDI Comfortline Radio ParkPilot || € 9.450 || Klausen || no date || https://auto-suedtirol.com/fahrzeug/id-25184/ || 96500 KM
